"Tick","Price","%Chg"
"AYLS","218","-4.39"
"TUGU","1120","0.45"
"BVIC","127","4.96"
"MORA","13150","-2.05"
"NELY","406","3.05"
"ASSA","1140","1.33"
"SILO","2800","7.69"
"BNGA","1815","1.68"
"SMDR","350","-1.13"
"ENRG","1210","-14.79"
"ESSA","670","3.88"
"TRON","190","-9.52"
"BGTG","133","4.72"
"ALII","795","1.27"
"INOV","136","-2.86"
"KETR","800","0.63"
"ASLI","550","10"
"AGII","2000","8.7"
"KOKA","234","-0.85"
"DGIK","128","3.23"
"BUVA","1230","-14.88"
"UVCR","174","3.57"
"KDTN","1235","8.33"
"ISSP","462","5"
"SSTM","3200","9.22"
"ASGR","1560","4.7"
"ERAL","356","1.71"
"VKTR","940","-14.93"
"OASA","400","3.63"
"MBSS","1935","-2.03"
"AMAN","218","1.87"
"GTRA","362","5.85"
"ELSA","645","1.57"
"MAPA","680","2.26"
"ADRO","2220","0.45"
"NASI","133","3.91"
"ISAT","2240","1.82"
"HMSP","775","-4.32"
"TINS","3320","-0.6"