no,ticker,title,date,source,high_priority_hits,medium_priority_hits,fundamental_hits,red_flags,urgency_score,total_score,category,action,key_findings
224,-,"Tak Ada Kontribusi, ANJT Hentikan Operasional Tiga Anak Usaha",2026-01-25,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
223,-,BUKA Perkuat Ekosistem Gaming Inklusif Lewat Lapakgaming,2026-01-25,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
222,-,"Petrosea (PTRO) Prajogo Pangestu Junam ke ARB, Ada Apa?",2026-01-25,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
221,-,"Ritel Puncaki Top Broker, Begini Dinamikanya",2026-01-25,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
247,-,Yen Menguat di Tengah Kabar Intervensi Pasar,2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
175,-,Gen Z dan Trading Kripto: Tren Investasi Berisiko Tinggi,2026-01-23,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
173,-,"IHSG Dibuka Menguat Terbatas ke Area 9.014, Tekanan Asing Membayangi",2026-01-23,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
172,-,"Antre Beli Tebal, LSIP Siap Melaju ke 1.250",2026-01-23,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
170,-,"Erajaya (ERAA) Siapkan Dana Rp150 Miliar untuk Buyback, Harga Menguat",2026-01-23,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
169,-,Paradise Indonesia Pede Tutup 2025 Positif: ini Dua Jurusnya!,2026-01-23,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
168,-,"Tertekan Aksi Profit Taking, Berapa Harga Tepat Lepas INDY?",2026-01-23,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
163,-,"Gandeng MORA, KETR Gelar Kabel Laut Jakarta–Batam–Singapura",2026-01-23,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
240,-,"MPXL Kantongi Kontrak Tripartit Pengelolaan Limbah Abu Batu Bara, Nilai Proyek R...",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
239,-,"Saham RMKO Bergerak di Bidang Apa? Kontraktor Tambang, Begini Lini Bisnisnya",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
549,-,"Perkuat Portofolio, Metrodata (MTDL) Luncurkan Layanan Cloud",2026-01-30,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
547,-,"Didorong BSD City, Prapenjualan BSDE Sentuh Rp10 Triliun",2026-01-30,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
48,-,"Tiket Mahal, Konektivitas Tersendat: Krisis Transportasi Udara Domestik",2026-01-21,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
47,-,"PBPH Disorot Pemerintah, INRU Resahkan Pasokan Bahan Baku",2026-01-21,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
45,-,"Perluas Arah Bisnis, ACRO Ajukan Paten Sistem Ini",2026-01-21,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
44,-,"Pemegang Besar Lepas 18,19 Miliar, Saham BUMI Ambles",2026-01-21,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
43,-,"IHSG Melemah, Ini 10 Saham Peringkat Terbawah Hari Ini, Tekanan Jual Masih Mendo...",2026-01-21,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
41,-,"NOBU Rombak Direksi, Perbarui Recovery Plan 2026",2026-01-21,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
40,-,"Entitas Anak PORT Ganti Mata Uang Jadi Rupiah, ini Pertimbangannya",2026-01-21,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
38,-,"Pendapatan ARTI Susut 67 Persen, Kontrak Rig Berakhir",2026-01-21,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
35,-,"BEI Soroti Rencana Meikarta Jadi Lokasi Rusun Subsidi, Ini Tanggapan LPCK",2026-01-21,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
546,-,OJK Beber Plt Dirut BEI Berasal dari Internal Bursa,2026-01-30,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
268,-,"Urusi Limbah Batu Bara, Segini Peluang Pendapatan MPXL",2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
267,-,"Deretan Saham Paling Aktif Ditransaksikan Sepekan: BUMI, BUVA, hingga BRMS",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
266,-,"IHSG Diprediksi Bergerak Mixed 8.920-9.000, Cek Potensi Cuan Saham MDKA-TLKM",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
265,-,"Begini Prediksi IHSG Awal Pekan, Pantau Saham ANTM, HRTA, hingga TOBA",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
263,-,"Harga Emas Dunia Tembus Rekor USD5.000, Tren Bullish Diproyeksi Berlanjut",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
262,-,"Emiten Low Tuck Kwong (MYOH) Masuk ke Bisnis Properti, Siapkan Modal Rp270 Milia...",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
261,-,"Valuasi Saham BBCA Dinilai Atraktif, Simak Penjelasan Analis",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
256,-,"IHSG Dibuka Hijau ke 8.967, LMPI-GTRA Pimpin Top Gainers",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
255,-,"IHSG Berpeluang Rebound, Saham ESSA-ARCI Disorot Analis",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
251,-,"Tegaskan Komitmen Berkelanjutan, PTBA Borong Penghargaan Indonesia Green Awards ...",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
250,-,"Ultra Voucher (UVCR) Fokus Ekspansi pada 2026, Ini Strateginya",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
248,-,"IHSG Jeda Siang Menguat ke 8.972, Sektor Barang Baku Melesat 4,47 Persen",2026-01-26,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
286,-,"Emas Tembus USD5.000, Apa yang Sedang Terjadi di Pasar Global?",2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
284,-,"Perak Tembus USD100 per Ons, Gejolak Geopolitik Picu Reli?",2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
283,-,"Sepekan Perdagangan, Deretan Saham ini Melonjak Tajam",2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
282,-,"Perak Cetak Rekor, Pasar Cermati Arah Bitcoin",2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
281,-,"Ambles Sepekan, ini 10 Saham dengan Koreksi Terdalam",2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
280,-,"IHSG Menguat Tipis ke 8.968, Pelaku Pasar Masih Waspadai Sentimen Global",2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
278,-,Samindo Resources (MYOH) Dirikan Anak Usaha Sentra Terra Indonesia Bermodal Rp27...,2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
276,-,"IHSG Kembali Dekati Level 9.000, ANTM Hingga PGEO Hijau",2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
274,-,"HRUM On Perform, tapi Zona Uji Mulai Muncul: Seperti ini Datanya",2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
273,-,Industri Kripto RI Masih Rugi: Pedagang Aset Digital Curhat Begini!,2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
271,-,DPR Soroti Kredit Menganggur BTN dan BNI: Melonjak Capai Rp 2.500 Triliun,2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
269,-,RMKO Besok Lanjutkan Naik? Ini Area Krusialnya,2026-01-26,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
147,-,Harga Emas Antam (ANTM) Hari Ini Naik ke Rp2.880.000 per Gram,2026-01-23,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
306,-,Saham ANTM-BRMS Cs Terimbas Aksi Ambil Untung,2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
305,-,"DPR Gelar Rapat Paripurna, Sahkan Thomas Djiwandono Jadi Deputi Gubernur BI",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
304,-,"BEI Rombak IDX30, LQ45, dan IDX80, Ada BUMI hingga BREN",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
302,-,"IHSG Sesi I Ditutup Turun 0,6 Persen, Saham BBCA Kembali Tertekan",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
301,-,Elnusa (ELSA) Percepat Jasa Eksplorasi Migas di Indonesia Timur dengan Penguatan...,2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
300,-,Catatan Analis soal Aksi Erajaya (ERAA) Buyback Saham Rp150 Miliar,2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
299,-,Erwin Ciputra Borong Saham PTRO saat Harga Terus Tertekan,2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
298,-,"Harga CPO Kembali Menguat, Ekspor dan Produksi Jadi Penopang",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
296,-,Rupiah Hari Ini Ditutup Menguat ke Rp16.768 per Dolar AS,2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
295,-,"IHSG Ditutup Hijau ke 8.980, LAJU-INAI Pimpin Top Gainers",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
294,-,Dua Anak Usaha INDY Dirikan Perusahaan Baru di Bidang Penunjang Pertambangan,2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
292,-,"WIFI Sukses Jalani Uji Coba Layanan FWA 1,4 Ghz, Internet Rakyat Siap Diluncurka...",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
291,-,RMKE Masuk Pantauan Analis Seiring Proyeksi Kinerja 2026,2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
290,-,"ASLC Andalkan Ekosistem Lelang–Ritel, Bidik Pertumbuhan Pendapatan Double Digit ...",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
312,-,"Harga Minyak Melemah, Pasar Cermati Dampak Badai Musim Dingin",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
310,-,"IHSG Hari Ini Dibuka Melemah ke 8.974, PKPK Pimpin Top Losers",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
309,-,"Bursa Asia Menguat, Tersengat Penguatan Wall Street",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
308,-,"ENRG Temukan Cadangan Baru di WK Malacca Strait, Potensi 31 Juta Barel Minyak",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
161,-,WIKA Beton Garap Proyek Trek MRT Rp409 Miliar,2026-01-23,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
159,-,"Emiten Baja (GDST) Cairkan Dividen Interim Hari Ini, Segini Nilainya",2026-01-23,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
158,-,"Sanksi Lingkungan Guncang Pasar, Kinerja Emiten Grup Astra Jadi Sorotan",2026-01-23,IDX Channel,0,1,0,1,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
156,-,Wall Street Ditutup Menghijau Imbas Meredanya Kekhawatiran Tarif Trump Soal Gree...,2026-01-23,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
154,-,"Prediksi IHSG Jelang Akhir Pekan, Cermati Saham ADRO, BBCA, hingga MAPI",2026-01-23,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
152,-,"Harga Emas Cetak Rekor di Atas USD4.900, Perak-Platinum Kian Melaju",2026-01-23,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
150,-,"Harga Minyak Turun 2 Persen, Ancaman Trump soal Greenland-Iran Mereda",2026-01-23,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
148,-,Prabowo Sebut Indonesia Jadi Titik Terang di Tengah Ekonomi Global yang Menantan...,2026-01-23,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
542,-,"Hermina (HEAL) Buyback Saham 125 Juta Lembar, Siapkan Dana Segini",2026-01-30,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
541,-,"Ikut Mahendra-Inarno, Wakil Ketua DK OJK Mundur",2026-01-30,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
540,-,"IHSG Masih Rawan Terkoreksi di Tengah Sentimen MSCI, Simak Analisa 4 Saham Berik...",2026-01-30,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
539,-,"Wall Street Mayoritas Ditutup Melemah, Indeks S&P 500 dan Nasdaq Kompak Turun",2026-01-30,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
536,-,"Pasar Masih Fluktuatif, Allo Bank (BBHI) Lanjutkan Aksi Buyback Rp60,65 Miliar",2026-01-30,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
533,-,"Harga Minyak Melonjak 3 Persen, Sentuh Level Tertinggi Lima Bulan",2026-01-30,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
529,-,"IHSG Dibuka Melejit, Saham-Saham Blue Chip hingga Konglo Menghijau",2026-01-30,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
525,-,IHSG Berayun Tajam Pagi Ini usai Dirut BEI Iman Rachman Mundur,2026-01-30,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
524,-,"Harga Emas Antam (ANTM) Jelang Akhir Pekan Turun Rp48 Ribu, Cek Lengkapnya",2026-01-30,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
523,-,Bursa Asia Lesu Jelang Akhir Pekan,2026-01-30,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
522,-,"Perkuat Ekosistem, PTRO Dirikan Tiga Entitas Usaha Baru di Bidang Konsultasi",2026-01-30,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
520,-,Komisaris CDI Group Mulai Cicil Saham CDIA,2026-01-30,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
330,-,IHSG Tertekan: Ada Efek Thomas Djiwandono,2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
327,-,"Tarik Keluar ITMG-SMGR dari IDX30, EMTK Bentuk Area Konsolidasi",2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
325,-,Plafon Kredit Industri Padat Karya Turun 30 Persen di 2026,2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
324,-,DEWA Rebound Kuat Terkerek Isu Re-Klasifikasi?,2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
323,-,"Asing Aktif Akumulasi, INDY Malah Masuk Daftar UMA",2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
322,-,"Transaksi JAST Tembus 110 Ribu Kali, Ke Mana Arah Harga Berikutnya?",2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
321,-,DSSA Hingga BUMI Dorong Penguatan IHSG di Akhir Sesi,2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
317,-,"Buruan Cek Rekening, Dividen Tunai Interim Rp70,3 Miliar PNGO Cair Hari Ini",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
316,-,"IHSG Hari Ini Rawan Terkoreksi, Simak Analisa 4 Saham Berikut",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
315,-,"Wall Street Ditutup Menguat, Investor Cermati Kebijakan The Fed dan Laporan Pend...",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
314,-,"Harga Emas Dunia Sentuh USD5.100, Geopolitik Picu Aksi Safe Haven",2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
313,-,Prospek Positif Rapor Emiten CPO di Tengah Risiko Pungutan Ekspor,2026-01-27,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
131,-,"IHSG Berakhir di Zona Merah, Ditutup ke 8.951",2026-01-23,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
353,-,"IHSG Sempat Kena Trading Halt, Rupiah Malah Ditutup Menguat ke Rp16.722 per USD",2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
352,-,"IHSG Berakhir Merah, Turun 7,35 Persen ke 8.320",2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
351,-,"10 Saham Top Gainers saat IHSG Turun 28 Januari 2026, Intip Daftar Emitennya",2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
349,-,"Harga CPO Naik Lagi, Bertahan di Level Tertinggi Dua Bulan",2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
347,-,"Produksi Migas MedcoEnergi (MEDC) Capai 156 MBOEPD Sepanjang 2025, Masih Sesuai ...",2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
344,-,"IHSG Turun 8 Persen, CEO Danantara Dorong BEI Tindaklanjuti Permintaan MSCI",2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
343,-,BEI Targetkan Penuhi Permintaan MSCI Sebelum Mei 2026,2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
338,-,"Tambang Pani Mulai Irigasi Heap Leach, EMAS Targetkan Produksi Perdana di Kuarta...",2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
337,-,"IHSG Diprediksi Melemah, Empat Saham Ini Dijagokan",2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
336,-,"Ditopang Indeks S&P 500, Wall Street Ditutup Menguat",2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
335,-,Komisaris Merdeka Copper Gold Borong Saham MDKA di Harga Rp3.078,2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
334,-,"Akses Saham AS Dibuka, Valbury Perkuat Ekspansi Layanan Pasar Modal Global",2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
333,-,"Efisiensi Energi dan Ekspansi Pabrik, CLEO Pangkas Emisi",2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
332,-,"IHSG Tertekan di Awal Perdagangan, Melemah 0,25 Persen ke Level 8.953",2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
331,-,BEI Ingatkan Investor Waspadai Riset Sekuritas: Begini Cara Bacanya!,2026-01-27,,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
361,-,"BUMI, PTRO, hingga RAJA ARB usai Keputusan MSCI, Bagaimana Nasib Saham Konglo?",2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
360,-,"MSCI Picu Guncangan Pasar, IHSG Terkoreksi 8 Persen dan Kena Trading Halt",2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
359,-,Analis Soroti Ketahanan Fundamental Ekonomi Indonesia di Tengah Pelemahan IHSG,2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
358,-,"Kena Trading Halt, Perdagangan Dibuka Lagi Pukul 14.13 WIB",2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
355,-,WIFI Manfaatkan Jaringan dan Infrastruktur Pos Indonesia Perluas Layanan Interne...,2026-01-28,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
146,-,IHSG Jelang Akhir Pekan Dibuka Rebound ke 9.031,2026-01-23,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
144,-,Dua Kandidat Kuat MSCI Februari BUMI-PTRO Kembali Tumbang,2026-01-23,IDX Channel,0,0,0,0,10,10,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,-
